,city,city_number,cloudiness,humidity,latitude,longitude,temperature,wind_speed
0,nikolskoye,546105,0,48,59.7,30.79,46.67,2.24
1,saint-philippe,6138908,90,93,45.36,-73.48,36.91,2.24
2,yellowknife,6185377,90,67,62.45,-114.38,18.1,13.87
3,rikitea,4030556,12,100,-23.12,-134.97,77.42,14.27
4,esperance,3573739,20,78,10.24,-61.45,74.95,3.36
5,thompson,6165406,75,56,55.74,-97.86,14.0,8.05
6,punta arenas,3874787,40,75,-53.16,-70.91,42.39,31.09
7,ponta do sol,3453439,80,97,-20.63,-46.0,68.06,5.1
8,port-gentil,2396518,20,94,-0.72,8.78,80.6,3.36
9,porto walter,3662761,92,85,-8.27,-72.74,71.3,3.65
